1599, 15, , , , 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1599, , , , , , 0.062, , //Mitsubishi Ki-51, 
1600, 15, , , , 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1600, , , , , , 0.062, , //Mitsubishi A5M, 
1606, 15, , , , 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1606, , , , , , 0.062, , //Nakajima B5N1, 
1618, 15, , , , 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1618, , , , , , 0.062, , //Aichi D3A, 
1742, 15, , , , 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1742, , , , , , 0.042, ,  //Merkava 2, 
1904, 15, , , , 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1904, , , , , , 0.1, , //McDonnell Douglas KC-10 Extender,
1936, 15, , , , 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1936, , , , , , 0.042, , //Chietain Tank, 
1969, 15, , , , 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1969, , , , , , 0.065, , Sikorsky SH-3 Sea King,  
2033, 15, , , , 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2033, , , , , , 0.12, , //Lockheed C-5 Galaxy, 
2046, 15, , , , 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 2, , , , , , , , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2046, , , , , , 0.05, , LGM-25C Titan II,
